jobtitle,category,experience_level,job_type,salary_range,mobility,vision,hearing,cognitive,skills,tools,summary,details,growth_potential,why_accessible,location,learning_resource,roadmap,videos,sources
Health Information Coder,Healthcare,Entry,Full-time Remote,"$26,000–$46,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Medical Coding;ICD-10;CPT Codes;Anatomy;Attention to Detail,3M Encoder;Epic;Meditech;Excel;Optum,Assign standardised codes to medical diagnoses and procedures for billing and records.,"Review clinical documentation, assign accurate ICD-10-CM and CPT codes, query physicians for clarification, ensure compliance with coding guidelines, and meet departmental productivity and accuracy standards.",Senior Coder → Coding Auditor → Health Information Manager,Fully remote. Highly structured and rules-based work. No patient interaction. Predictable workload. Suits detail-oriented individuals.,Remote,AAPC (CPC Certification Training),Medical terminology and anatomy fundamentals;ICD-10-CM diagnosis coding;CPT procedure coding;Insurance and compliance guidelines;Coding accuracy auditing,,
Telehealth Coordinator,Healthcare,Entry,Full-time Remote,"$28,000–$44,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Scheduling;Patient Communication;EHR Systems;Empathy,Epic;Zoom Health;Microsoft Teams;Outlook;DocuSign,Coordinate virtual patient appointments and provide administrative support for telehealth clinics.,"Schedule and confirm telehealth appointments, onboard patients to video platforms, manage provider calendars, process referrals and prior authorisations, and handle patient queries via email and chat.",Senior Telehealth Coordinator → Practice Manager → Healthcare Operations Manager,Entirely remote. Text and video-based patient contact only. No physical clinical work. Suits those with mobility or hearing needs.,Remote,MGMA (Medical Office Administration),Healthcare administration fundamentals;EHR system navigation;Patient scheduling and communication;Telehealth platform setup for patients;Medical privacy laws (HIPAA),,
Legal Research Assistant,Legal,Entry,Full-time Remote,"$26,000–$44,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Legal Research;Writing;Citation;Case Analysis;Summarising,Westlaw;LexisNexis;Microsoft Word;Zotero;Notion,"Research legal precedents, statutes, and case law to support attorneys and legal teams.","Conduct case law and statutory research using Westlaw and LexisNexis, summarise findings in clear legal memoranda, check citation accuracy, organise legal document bundles, and track regulatory changes in assigned practice areas.",Senior Legal Researcher → Paralegal → Solicitor (with further qualification),Fully remote research role. No court appearances. Document-heavy structured work. Accessible for a wide range of physical disabilities.,Remote,Coursera (Introduction to English Common Law),Legal system fundamentals and court hierarchy;Using Westlaw and LexisNexis effectively;Legal memorandum writing;Case citation and referencing (OSCOLA);Statutory interpretation principles,,
Compliance Analyst,Legal,Mid,Hybrid,"$40,000–$68,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Regulatory Compliance;Policy Writing;Risk Assessment;Audit;Communication,Microsoft 365;GRC tools;Excel;SharePoint;Confluence,Ensure the organisation meets regulatory obligations and internal compliance standards.,"Review policies and procedures against regulatory requirements, conduct internal audits, maintain compliance registers, investigate potential breaches, and produce compliance training materials for staff.",Senior Compliance Analyst → Compliance Manager → Chief Compliance Officer,Primarily desk and document-based. Largely remote-compatible. Structured and process-driven. Suits those with physical disabilities.,Hybrid,ICA Certificate in Compliance,Regulatory landscape and compliance obligations;Risk-based approach to compliance;Policy writing and implementation;Internal audit methodology;Reporting and escalation procedures,,
Paralegal,Legal,Entry,Hybrid,"$26,000–$46,000",Mild,No issues / N/A,No issues / N/A,Moderate,Legal Drafting;Case Management;Research;Document Review;Organisation,Clio;NetDocuments;Microsoft Word;Westlaw;Outlook,"Support solicitors and barristers with research, drafting, and case administration.","Draft legal documents and correspondence, manage case files and court deadlines, conduct legal research, prepare bundles for hearings, and liaise with clients and courts on administrative matters.",Senior Paralegal → Solicitor (with qualification) → Legal Manager,Seated desk-based role. Many tasks remote-compatible. Structured and document-focused. Suits mobility or hearing-related needs.,Hybrid,CILEX Paralegal Certificate,Legal system and court procedures;Legal document drafting;Case management and file organisation;Client communication in a legal context;Research skills and citation,,
Market Research Analyst,Analytics,Mid,Full-time Remote,"$38,000–$62,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Survey Design;Data Analysis;Report Writing;Excel;Statistical Thinking,SurveyMonkey;SPSS;Excel;Qualtrics;Tableau,Design and conduct research studies to help organisations understand markets and customers.,"Design quantitative and qualitative research instruments, manage survey panels, clean and analyse response data, write insight reports with actionable recommendations, and present findings to stakeholders.",Senior Analyst → Research Manager → Head of Insights,Fully remote. Analytical and writing-focused. Independent structured work. Suits a wide range of physical needs.,Remote,Coursera (Market Research and Consumer Behaviour),Research design and methodology;Survey construction and questionnaire writing;Quantitative analysis with Excel and SPSS;Qualitative research and thematic analysis;Insight report writing,,
Operations Analyst,Management,Entry,Hybrid,"$30,000–$52,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Process Mapping;Data Analysis;Excel;Problem Solving;Documentation,Excel;Lucidchart;Jira;Confluence;Power BI,Analyse and improve business processes across operations and logistics.,"Map existing workflows, identify inefficiencies and bottlenecks, collect and analyse operational data, propose process improvements, and document updated standard operating procedures.",Senior Operations Analyst → Operations Manager → COO,Desk-based and partially remote. Structured data and documentation work. Clear project scope. Suitable for a range of physical disabilities.,Hybrid,Coursera (Operations Management),Business process mapping techniques;Data collection and analysis;Excel for operations reporting;Lean and Six Sigma basics;Writing standard operating procedures,,
Community Manager,Management,Entry,Full-time Remote,"$24,000–$44,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Community Building;Written Communication;Moderation;Event Hosting;Analytics,Discord;Slack;Notion;Circle;Hootsuite,Grow and manage an engaged online community around a brand or product.,"Welcome and onboard new members, moderate discussions, plan and run virtual events and AMAs, surface community insights back to the product team, and produce monthly community health reports.",Senior Community Manager → Head of Community → VP of Growth,Fully remote and async-friendly. Text-based community work. Suits hearing needs and mobility challenges. Flexible hours.,Remote,CMX (Community Management Fundamentals),Community strategy and platform selection;Onboarding and welcome sequences;Content programming for communities;Moderation and conflict resolution;Measuring community health and engagement,,
Product Analyst,Analytics,Mid,Hybrid,"$45,000–$75,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Product Analytics;SQL;A/B Testing;User Behaviour Analysis;Data Storytelling,Mixpanel;Amplitude;SQL;Looker;Figma,Analyse product usage data to guide feature development and improve user experience.,"Instrument analytics events, write SQL queries against product databases, design and analyse A/B experiments, produce weekly product metric reviews, and collaborate with PMs and designers on data-driven decisions.",Senior Product Analyst → Head of Analytics → VP of Product,Mostly remote. Deep analytical focus work. Suits high-focus styles. SQL and dashboarding are screen-reader-compatible.,Hybrid,Reforge (Product Analytics),"Product metrics framework (acquisition, retention, revenue);Event tracking and instrumentation;SQL for product analytics;Experimentation and A/B testing;Communicating product insights",,
Machine Learning Engineer,Technology,Mid,Full-time Remote,"$70,000–$115,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Python;Machine Learning;MLOps;Feature Engineering;Model Deployment,Python;PyTorch;MLflow;Docker;AWS SageMaker,Build and deploy machine learning models into production systems.,"Train and fine-tune ML models, build data pipelines, manage model versioning with MLflow, containerise and deploy models via SageMaker, monitor model drift in production, and collaborate with data scientists on research-to-production handoff.",Senior ML Engineer → Staff ML Engineer → Head of AI,Fully remote. Deep focus technical role. Keyboard and terminal-driven workflow. No physical demands.,Remote,fast.ai and Coursera (MLOps Specialisation),"Python for ML (numpy, pandas, scikit-learn);Neural networks and deep learning fundamentals;Feature engineering and model pipelines;Model deployment with Docker and cloud;MLOps monitoring and retraining",,
IT Support Specialist,Technology,Entry,Hybrid,"$26,000–$44,000",Mild,No issues / N/A,No issues / N/A,Mild,Troubleshooting;Networking;Hardware;Customer Service;Documentation,Jira Service Desk;TeamViewer;Active Directory;Slack;Microsoft 365,"Resolve hardware, software, and network issues for end users in a helpdesk role.","Triage and resolve tier-1 IT support tickets, perform remote troubleshooting via TeamViewer, reset accounts in Active Directory, document solutions in the knowledge base, and escalate complex issues to the infrastructure team.",Senior IT Support → Systems Administrator → IT Manager,Many remote desktop support tasks can be performed from home. Seated desk-based role. Clear ticketing workflow. Suits mobility needs.,Hybrid,CompTIA A+ Certification,"Computer hardware and peripherals;Operating systems (Windows and macOS);Networking basics (TCP/IP, Wi-Fi);Troubleshooting methodology;IT security fundamentals",,
Database Administrator,Technology,Mid,Full-time Remote,"$55,000–$90,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,SQL;Database Design;Performance Tuning;Backup and Recovery;Security,PostgreSQL;MySQL;Oracle;SQL Server;AWS RDS,"Manage, optimise, and secure relational databases for applications and data teams.","Design and maintain database schemas, write and optimise complex queries, implement backup and disaster recovery procedures, manage user permissions, and monitor database performance metrics.",Senior DBA → Database Architect → Head of Data Infrastructure,Fully remote. Terminal and GUI-based administration. Deep structured technical work. Suits those preferring independent focused tasks.,Remote,Oracle Database Administration (Oracle University),"Relational database design and normalisation;SQL querying and stored procedures;Database performance tuning;Backup, recovery, and high availability;Database security and access control",,
Podcast Producer,Creative,Entry,Freelance,"$18,000–$38,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Audio Editing;Show Notes Writing;Scheduling;RSS Publishing;Content Planning,Audacity;Adobe Audition;Riverside.fm;Descript;Buzzsprout,"Produce, edit, and publish podcast episodes for creators and brands.","Edit raw recordings to broadcast quality, write show notes and episode descriptions, manage episode publishing schedules on hosting platforms, coordinate guest bookings, and grow listener engagement through social promotion.",Senior Producer → Head of Audio → Podcast Network Director,Entirely remote. Largely async. Audio editing software accessible via keyboard shortcuts. Suits hearing-impaired with visual waveform tools.,Remote,Descript Podcast Editing Course,Audio recording fundamentals;Editing for pacing and clarity;Writing compelling show notes;RSS feeds and podcast hosting platforms;Growing and monetising a podcast,,
Newsletter Writer,Communication,Entry,Freelance,"$16,000–$35,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Writing;Research;Curation;Editing;Audience Growth,Substack;Beehiiv;Mailchimp;Notion;Grammarly,"Write and publish regular newsletters for creators, brands, or your own audience.","Research and curate industry news, write engaging original commentary, design email layouts, grow subscriber lists through social and referral strategies, and analyse open rates to optimise content.",Senior Writer → Content Director → Media Brand Founder,100% remote and fully self-managed. Flexible asynchronous work. Entirely writing-focused. Excellent for any physical disability.,Remote,Substack (Newsletter Fundamentals),Finding your niche and audience;Newsletter structure and voice;Research and curation workflow;Email design and formatting;Growing subscribers organically,,
Grant Writer,Communication,Mid,Full-time Remote,"$34,000–$58,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Grant Writing;Research;Proposal Writing;Budgeting;Stakeholder Communication,Microsoft Word;Excel;GrantStation;Salesforce;Notion,Write compelling funding proposals to secure grants for nonprofits and research organisations.,"Research grant opportunities, write narrative sections of funding proposals, collaborate with programme staff on budget development, track submission deadlines, and report on funded project outcomes.",Senior Grant Writer → Development Director → Head of Fundraising,Fully remote. Independent long-form writing work. Flexible deadlines. No travel required. Suits a range of physical needs.,Remote,Grant Professionals Association (GPA Basics),Grants landscape and funder research;Proposal structure and narrative writing;Logic models and programme design;Budget preparation for grant applications;Post-award reporting and compliance,,
Resume Writer,Communication,Entry,Freelance,"$18,000–$42,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Resume Writing;Career Coaching;Editing;LinkedIn Optimisation;Client Communication,Microsoft Word;Canva;LinkedIn;Grammarly;Calendly,Write professional resumes and LinkedIn profiles that help clients land interviews.,"Conduct intake consultations with clients, extract career achievements and key experience, write tailored resumes and cover letters, optimise LinkedIn profiles for keyword visibility, and provide revision rounds until client satisfaction.",Senior Resume Writer → Career Coach → Agency Owner,Fully freelance and remote. Async client communication. Entirely writing-focused. Flexible around health needs and energy levels.,Remote,Nationally Certified Resume Writer (NCRW) Prep,Professional resume formats and design principles;Extracting and reframing career achievements;ATS optimisation and keyword strategy;LinkedIn profile best practices;Client consultation and revision management,,
Customer Success Manager,Management,Mid,Full-time Remote,"$48,000–$80,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Account Management;Onboarding;Retention;Product Knowledge;Communication,Salesforce;HubSpot;Intercom;Notion;Zoom,Drive product adoption and retention for a portfolio of software customers.,"Onboard new customers to the product, run regular success reviews, identify expansion and upsell opportunities, manage churn risk, and advocate internally for customer-requested product improvements.",Senior CSM → Head of Customer Success → VP of Revenue,"Fully remote. Communication primarily via email, chat, and video. Suits hearing needs if video captions enabled. Flexible schedule.",Remote,Gainsight (Customer Success Fundamentals),Understanding customer lifecycle and health scoring;Onboarding programme design;Business review preparation and delivery;Identifying expansion and renewal signals;Managing at-risk accounts,,
Account Manager,Management,Mid,Hybrid,"$40,000–$70,000",Mild,No issues / N/A,No issues / N/A,Moderate,Client Relationships;Upselling;Communication;CRM;Presentation,Salesforce;HubSpot;Zoom;PowerPoint;Slack,Manage and grow a portfolio of client accounts for an agency or software company.,"Serve as the main point of contact for assigned clients, conduct regular check-ins, identify opportunities to expand services, resolve escalations, and ensure client satisfaction and renewal.",Senior Account Manager → Key Account Director → VP of Sales,Hybrid with many remote client calls. Seated meetings and presentations. Clear relationship-based structure. Suits many physical needs.,Hybrid,Coursera (Sales and CRM Overview),"Understanding client needs and account planning;CRM best practices (Salesforce, HubSpot);Upselling and cross-selling techniques;Handling objections and escalations;Quarterly business review preparation",,
Sales Development Representative,Management,Entry,Full-time Remote,"$28,000–$48,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Prospecting;Cold Outreach;CRM;Written Communication,Salesforce;LinkedIn Sales Navigator;Outreach.io;ZoomInfo;Slack,Generate qualified sales leads through outbound prospecting and research.,"Research target companies and contacts, write personalised cold email sequences, conduct outbound LinkedIn prospecting, qualify inbound leads via email, log all activity in Salesforce, and book discovery calls for account executives.",Senior SDR → Account Executive → Sales Manager,Fully remote. Primarily written outreach. No cold calling required in many teams. Structured daily targets. Suits hearing needs.,Remote,Salesforce Trailhead (SDR Fundamentals),Prospecting and ideal customer profile (ICP) research;Writing effective cold email sequences;LinkedIn Sales Navigator techniques;CRM hygiene and pipeline management;Objection handling over email,,
3D Modeller,Creative,Mid,Full-time Remote,"$38,000–$68,000",No issues / N/A,Moderate,No issues / N/A,Mild,3D Modelling;Texturing;Rigging;Rendering;UV Mapping,Blender;Maya;Substance Painter;Marmoset Toolbag;Unity,"Create 3D assets for games, films, product visualisation, and virtual environments.","Model and texture characters, props, and environments using Blender or Maya, rig characters for animation, bake normal maps and optimise assets for real-time engines, and deliver final assets to art directors.",Senior 3D Artist → Lead Artist → Art Director,Fully remote. Tablet and keyboard-driven workflow. High creative autonomy. Home studio setup. Suits mobility and hearing needs.,Remote,Blender Guru (Blender Fundamentals),Blender interface and 3D navigation;Polygonal modelling techniques;UV unwrapping and texturing;PBR materials and rendering;Exporting assets for game engines,,
Web Scraping Developer,Technology,Entry,Freelance,"$24,000–$48,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Python;BeautifulSoup;Selenium;Data Parsing;Regular Expressions,Python;BeautifulSoup;Scrapy;Selenium;Jupyter,Extract structured data from websites for business intelligence and research.,"Write Python scripts to crawl and scrape target websites, handle pagination and dynamic JavaScript content, parse and clean extracted data, store results in CSV or databases, and schedule automated scraping jobs.",Senior Developer → Data Engineer → Freelance Consultant,Entirely remote and self-directed. Python scripting from home. Structured problem-solving tasks. Low physical demands.,Remote,Real Python (Web Scraping with Python),"Python fundamentals (loops, functions, file I/O);HTTP requests and HTML parsing with BeautifulSoup;Handling dynamic pages with Selenium;Data cleaning and storage (CSV, SQLite);Scheduling and deploying scrapers",,
Animator (2D),Creative,Mid,Full-time Remote,"$36,000–$65,000",No issues / N/A,Moderate,No issues / N/A,Mild,2D Animation;Animation;Rigging;Storyboarding;Timing,Adobe Animate;Toon Boom Harmony;After Effects;Photoshop;Clip Studio Paint,"Produce 2D animated sequences for games, explainer videos, and broadcast.","Create character rigs and animate scenes based on storyboards, follow animation briefs for timing and style, produce frame-by-frame and tweened animation, export deliverables for compositing, and incorporate director feedback.",Senior Animator → Lead Animator → Animation Director,Home studio setup. Drawing tablet workflow. Fully remote for most studios. Suits mobility and hearing-impaired animators.,Remote,Animation Mentor (Character Animation Fundamentals),12 principles of animation;Character rigging in Toon Boom Harmony;Scene staging and composition;Lip sync and secondary motion;Exporting and delivering animation assets,,
Insurance Underwriter,Finance,Mid,Hybrid,"$40,000–$68,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Risk Assessment;Data Analysis;Communication;Policy Writing;Negotiation,Guidewire;Excel;Salesforce;Outlook;Duck Creek,Assess risk and determine policy terms for insurance applications.,"Review insurance applications and supporting documentation, analyse risk factors across property or liability lines, price policies within authority limits, negotiate terms with brokers, and maintain a profitable portfolio.",Senior Underwriter → Underwriting Manager → Chief Underwriting Officer,Desk-based and partially remote. Structured analytical decision-making. No field work. Suits mobility and hearing needs.,Hybrid,Chartered Insurance Institute (CII IF1 or CII Award),Principles of insurance and risk;Underwriting decision-making frameworks;Policy wording and coverage analysis;Broker and client communication;Regulatory compliance in insurance,,
Environmental Data Analyst,Analytics,Mid,Full-time Remote,"$42,000–$70,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Environmental Science;Data Analysis;GIS;Reporting;Python,ArcGIS;Python;Excel;R;Tableau,Analyse environmental datasets to support sustainability reporting and compliance.,"Process satellite imagery and sensor data, run spatial analyses in ArcGIS, produce environmental impact reports, support ESG disclosure frameworks, and visualise findings for regulatory submissions.",Senior Analyst → Environmental Manager → Head of Sustainability,Fully remote. Desk-based analysis and report writing. Screen magnification supported in GIS tools. Suits mobility needs.,Remote,Esri (ArcGIS and Spatial Analysis),"Environmental science fundamentals;GIS concepts and ArcGIS basics;Remote sensing and satellite data;Environmental reporting frameworks (GRI, TCFD);Data visualisation for sustainability",,
Storyboard Artist,Creative,Mid,Freelance,"$30,000–$60,000",No issues / N/A,Moderate,No issues / N/A,Mild,Storyboarding;Character Design;Visual Storytelling;Composition;Client Communication,Storyboard Pro;Photoshop;Clip Studio Paint;PDF tools;Slack,"Create storyboard panels for film, TV, animation, and advertising productions.","Interpret scripts and director notes into sequential panel drawings, produce animatics for client review, revise storyboards based on feedback, and deliver production-ready frames in required formats and timelines.",Senior Storyboard Artist → Visual Development Artist → Art Director,Home studio. Drawing tablet workflow. Async client communication. Fully freelance schedule flexibility. Suits many physical needs.,Remote,CGMA (Storyboarding for Animation),Visual storytelling fundamentals;Scene composition and camera angles;Character expression and action poses;Storyboard Pro workflow;Delivering animatics and revisions,,
UX Researcher,Design,Mid,Full-time Remote,"$50,000–$85,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,UX Research;Usability Testing;Interview Facilitation;Survey Design;Synthesis,Lookback;UserTesting;Miro;Dovetail;Figma,Plan and conduct user research to inform product and design decisions.,"Recruit participants, facilitate moderated usability tests and interviews, conduct unmoderated studies, synthesise findings into actionable insights, present research reports to product and design teams, and maintain a research repository.",Senior UX Researcher → Research Lead → Head of Insights,Fully remote. Research sessions conducted over video. Async synthesis work. Lived disability experience is a genuine asset for inclusive research.,Remote,Nielsen Norman Group (UX Research Methods),Research planning and study design;Moderated and unmoderated usability testing;Interview facilitation techniques;Qualitative synthesis and affinity mapping;Writing and presenting research reports,,
Scrum Master,Technology,Mid,Full-time Remote,"$52,000–$88,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Agile;Scrum;Facilitation;Coaching;Conflict Resolution,Jira;Confluence;Miro;Slack;Zoom,Facilitate Scrum ceremonies and remove impediments for agile software teams.,"Run daily stand-ups, sprint planning, reviews, and retrospectives, track team velocity and sprint metrics, coach the team on agile practices, identify and escalate blockers, and foster a culture of continuous improvement.",Senior Scrum Master → Agile Coach → Head of Delivery,Fully remote. Facilitation via video and async tools. Structured team support role. Suits those with mobility or physical needs.,Remote,Scrum.org (Professional Scrum Master I — PSM I),"Scrum framework: roles, events, and artefacts;Sprint planning and backlog refinement;Retrospective facilitation techniques;Metrics and velocity tracking;Servant leadership and coaching",,
Product Manager,Technology,Mid,Hybrid,"$60,000–$100,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Product Strategy;Roadmapping;Stakeholder Management;User Stories;Data Analysis,Jira;Notion;Figma;Mixpanel;Confluence,Define and drive the direction of a software product from discovery to delivery.,"Write and prioritise user stories, maintain a product roadmap, conduct discovery interviews, collaborate with engineering and design, define success metrics, and communicate product decisions to stakeholders.",Senior PM → Director of Product → Chief Product Officer,Hybrid with many remote collaboration sessions. Seated meetings and workshops. Structured strategy and communication work.,Hybrid,Product School (Product Management Certification),Product discovery and problem framing;Writing effective user stories and acceptance criteria;Roadmap prioritisation frameworks;Working with design and engineering;Product metrics and OKR setting,,
Tax Preparer,Finance,Entry,Part-time Remote,"$20,000–$40,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Tax Preparation;Tax Law;Excel;Client Communication;Attention to Detail,TurboTax;H&R Block Software;Drake Tax;Excel;DocuSign,Prepare and file personal and small business tax returns accurately.,"Gather and review client financial documents, prepare federal and state tax returns, identify applicable deductions and credits, respond to client queries, and file returns within IRS deadlines.",Senior Tax Preparer → Tax Advisor → Enrolled Agent,Seasonal and part-time remote work. Highly structured and rules-based. No physical demands. Suits those needing flexible annual schedules.,Remote,IRS VITA Volunteer Training or H&R Block Income Tax Course,"Individual income tax fundamentals;W-2, 1099, and Schedule forms;Deductions, credits, and adjustments;Tax software operation;Filing procedures and client communication",,
Voice Actor,Creative,Entry,Freelance,"$18,000–$50,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Voice Performance;Script Reading;Microphone Technique;Audio Editing,Audacity;Adobe Audition;Source-Connect;iZotope RX;Rode microphone,"Perform voice recordings for commercials, audiobooks, e-learning, and animation.","Record voice-over scripts from a home studio, deliver multiple takes and tones as directed, edit and clean up audio to broadcast standard, submit files to clients, and audition for new roles via online casting platforms.",Experienced VO Artist → Audiobook Narrator → Casting Agency Talent,Home studio. Self-directed flexible schedule. No physical travel. Requires clear speech but no mobility requirements whatsoever.,Remote,Edge Studio (Voice Acting Fundamentals),Voice technique: breath control and diction;Home studio setup and acoustic treatment;Microphone and recording software basics;Script analysis and cold reading;Submitting auditions and marketing your voice,,
Network Engineer,Technology,Mid,Hybrid,"$52,000–$88,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Networking;Cisco;Firewalls;VPN;Troubleshooting,Cisco IOS;Wireshark;Palo Alto;SolarWinds;GNS3,"Design, implement, and maintain enterprise network infrastructure.","Configure and manage routers, switches, and firewalls, implement VPN solutions for remote access, troubleshoot network performance issues, produce network diagrams, and maintain security patch compliance.",Senior Network Engineer → Network Architect → Head of Infrastructure,Largely desk-based. Remote network management tools widely used. Many tasks performable from home. Suits mobility needs.,Hybrid,Cisco CCNA Certification,"Networking fundamentals (OSI model, TCP/IP);Routing and switching with Cisco IOS;VLANs and network segmentation;Firewall and VPN configuration;Network monitoring and troubleshooting",,
Digital Marketing Manager,Communication,Mid,Full-time Remote,"$45,000–$78,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Digital Marketing;Paid Ads;SEO;Analytics;Strategy,Google Ads;Meta Ads;HubSpot;GA4;Semrush,Plan and execute multi-channel digital marketing campaigns to drive growth.,"Manage paid search and social campaigns, oversee SEO strategy, coordinate content and email marketing, analyse performance across channels, report to leadership, and manage a small team of marketing specialists.",Head of Digital → VP Marketing → CMO,Fully remote. Strategy and campaign management work. Async team coordination. Suits those with physical or sensory needs.,Remote,Google Digital Marketing Certificate,Digital marketing channel overview;Google Ads and paid search fundamentals;Meta Ads and social media advertising;SEO and content strategy;Analytics reporting with GA4,,
Proofreader,Communication,Entry,Freelance,"$16,000–$34,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Proofreading;Grammar;Attention to Detail;Style Guides;Editing,Microsoft Word;Google Docs;Grammarly;PerfectIt;Chicago Manual of Style,"Review written content for errors in grammar, spelling, punctuation, and style.","Check manuscripts, articles, reports, and marketing materials for typographical and grammatical errors, apply house style guide rules consistently, track changes in documents, and return corrected files within agreed turnaround times.",Senior Proofreader → Copy Editor → Editorial Manager,Entirely remote. Flexible freelance schedule. Solo focused work. No physical demands. Excellent for a wide range of disabilities.,Remote,Proofreading Academy (Proofreading Certificate),"Core grammar and punctuation rules;Using style guides (Chicago, AP, house);Track changes in Word and Google Docs;Common error patterns and how to spot them;Managing client relationships and turnarounds",,
E-commerce Manager,Management,Mid,Full-time Remote,"$42,000–$72,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,E-commerce Strategy;Shopify;Product Listing;Analytics;Customer Experience,Shopify;WooCommerce;Google Analytics;Klaviyo;Canva,"Manage and grow an online retail store's operations, marketing, and performance.","Oversee product catalogue and inventory, write and optimise product listings, run paid and email marketing campaigns, monitor conversion rates, improve checkout UX, and produce weekly performance reports.",Senior E-commerce Manager → Head of Digital Commerce → Director of Retail,Fully remote. Platform-based operations. Flexible and autonomous work structure. Suits those with physical or mobility needs.,Remote,Shopify Academy (E-commerce Fundamentals),E-commerce fundamentals and customer lifecycle;Shopify store setup and management;Product listing optimisation;Email marketing with Klaviyo;Analytics and conversion rate optimisation,,
Subtitle and Captioning Editor,Communication,Entry,Full-time Remote,"$20,000–$36,000",No issues / N/A,No issues / N/A,Significant,Mild,Captioning;Subtitle Editing;Typing Accuracy;Timing;Quality Control,Aegisub;EZTitles;Verbit;Rev;Microsoft Word,Create and edit accurate subtitles and captions for video content across media platforms.,"Review auto-generated captions for accuracy, manually caption video content using specialist software, apply broadcast timing standards, check for synchronisation, and deliver to quality and turnaround specifications.",Senior Caption Editor → QA Lead → Subtitling Manager,Specifically designed for deaf and hard-of-hearing workers. Visual-based workflow replaces audio listening. Entirely remote and self-paced.,Remote,Rev Captioning Certification,Captioning standards and guidelines;Subtitle timing and synchronisation;Working with captioning software;Quality control processes;Broadcast and streaming delivery formats,,
Knowledge Base Writer,Communication,Entry,Full-time Remote,"$26,000–$45,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Technical Writing;Content Organisation;Help Documentation;Research;Editing,Zendesk Guide;Confluence;Notion;Grammarly;Loom,Write and maintain self-service help articles and knowledge bases for software products.,"Interview subject matter experts, document product features and processes in plain language, organise content into logical help categories, update articles when features change, and track article performance through search analytics.",Senior Knowledge Base Writer → Technical Writer → Head of Documentation,Fully remote. Independent writing and research work. Async collaboration. Suits physical and sensory disabilities.,Remote,Google Technical Writing One (free online),User-centred writing principles;Clear sentence structure and plain language;Help article structure templates;Information architecture for knowledge bases;Maintaining and updating living documentation,,
Chatbot Designer,Technology,Mid,Full-time Remote,"$42,000–$70,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Conversational Design;NLP;Dialogue Flows;UX Writing;Bot Testing,Dialogflow;Voiceflow;Botpress;Rasa;Notion,Design and build conversational AI experiences for customer service and internal tools.,"Map user intents and create dialogue flows, write natural conversational copy for bot responses, configure NLP training data, test conversation paths for edge cases, and iterate based on user feedback and analytics.",Senior Conversational Designer → Head of Conversational AI → Product Lead,Fully remote. Design and writing-focused with technical elements. Async workflow. No physical demands.,Remote,Voiceflow Academy (Conversational Design),Principles of conversational design;Intent mapping and entity recognition;Dialogue flow building in Voiceflow or Dialogflow;Writing natural and accessible bot copy;Testing and improving conversation quality,,
Cloud Support Engineer,Technology,Entry,Full-time Remote,"$38,000–$62,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Cloud Computing;AWS;Troubleshooting;Customer Support;Documentation,AWS Console;Jira;Confluence;Slack;Zoom,Provide technical support to cloud platform customers resolving AWS infrastructure issues.,"Respond to customer support tickets related to AWS services, diagnose configuration and networking issues, write knowledge base articles for common problems, escalate complex cases to engineers, and contribute to service reliability improvements.",Senior Cloud Support → Solutions Architect → Cloud Engineer,Fully remote. Ticket and documentation-based work. Structured technical role. Suits hearing and mobility needs.,Remote,AWS Cloud Practitioner Certification,"Cloud computing fundamentals and AWS global infrastructure;Core AWS services (EC2, S3, VPC, IAM);Diagnosing common AWS service issues;Support ticket writing and escalation;Customer communication for technical issues",,
